Sentence_ID,Risk_Level,Confidence,Absolutes,Subjectives,Hedges,First_Person,Sentence_Text
358,High Risk,98.0%,2,0,0,0,"It must be
supported by legal, reliable, and circumstantial evidence that proves guilt beyond a reasonable
doubt."
290,High Risk,100.0%,5,0,0,0,"Under Section 65B(4) of the Evidence Act, if it is desired to give a statement in
any proceedings pertaining to an electronic record, it is permissible provided the
following conditions are satisfied :
(a) There must be a certificate which identifies the electronic record containing the
statement;
(b) The certificate must describe the manner in which the electronic record was
produced;
Indian Kanoon - http://indiankanoon.org/doc/183744109/ 16
Vikash Kumar vs Kolkata-Prev on 6 February, 2026
(c) The certificate must furnish the
(d) The certificate
particulars of the must
device deal within the
involved the
(e) The certificate
applicable must be signed by a
production conditions mentioned under
of that record;
person
Section occupying
65B(2) of thea responsible official Evidence Act; and position in relation to the
operation
16."
204,Medium Risk,99.0%,0,0,0,1,"We find that after about two months from seizure of the DVD in July, 2016 the DRI officers
searched the house of Shri Jyoti Biswas and arrested him in September 2016, on 22.09.2016, who
was allegedly said to have been involved with the appellant in the export done by the said four
exporters, as per his statement recorded by DRI on 22.09.2016."
331,Medium Risk,99.0%,0,0,0,1,"We find that the procedures laid down under section 138C have not
been observed by the department, in addition to non mentioning of the details of the CPU, the place
of installation in the premise, custodian of the CPU etc."
398,Medium Risk,98.0%,0,0,0,1,"Consequently, in the absence of any concrete evidence being adduced by the
Revenue, we hold that the statement recorded from Shri Jyoti Biswas, which has been retracted
before a court of law, cannot be relied upon in the instant proceedings against the appellant."
371,Medium Risk,93.0%,1,0,0,1,"On perusal of the appeal records, we find that by letter
dated 5-9-
2019, addressed to the adjudicating authority, the appellant had retracted all the statements,
assigning the reason that the appellant had never stated regarding mis-declaration of value, quantity
or description of goods and accordingly, deny the whole statements recorded under section 108 ibid."
62,Medium Risk,100.0%,0,0,0,1,"Against the said orders, the appellant is before us."
129,Medium Risk,100.0%,1,0,0,0,"Such contradictory stand proves that the appellant had not violated section 114AA of the Act, as
projected."
142,Medium Risk,100.0%,0,0,0,1,"Authorized Representatives of the Revenue appearing before us have
supported the impugned orders."
171,Medium Risk,100.0%,0,0,0,1,"Before going into the merits of the case, we find it relevant to examine the contentions raised by
the Revenue as regards maintainability of the present appeals before this Tribunal under Section
129A of the Customs Act, 1962."
172,Medium Risk,100.0%,0,0,0,1,"We find that in this case, the appellant has not at all claimed the
drawback."
177,Medium Risk,100.0%,0,0,0,1,"We have also examined the case-law of Sans Frontier (supra) and Titagarh Wagons Ltd.
(supra) cited by the Revenue in support of its above contentions."
178,Medium Risk,100.0%,0,0,0,1,"However, we find that both the
above Appeal No(s)."
182,Medium Risk,100.0%,0,0,0,1,"Accordingly, we hold that the appeals are maintainable before this Tribunal."
184,Medium Risk,100.0%,0,0,0,2,"On the merits of the case, we find that the main issues that arise for our consideration are as
under: -
(1) Whether, the electronic record in the form of the so-called DVD in the instant case
can be admissible as evidence for imposition of penalty under Section 114AA of the
Customs Act, 1962 on the appellant in this case, without verifying its genuineness,
veracity or reliability from the original electronic device by/from which these are
created, or not."
188,Medium Risk,100.0%,0,0,0,1,We now proceed to examine the above issues in seriatim.
192,Medium Risk,100.0%,0,0,0,1,"From the records available before us, it can be gathered that the primary evidence which has
been used to implicate the appellant in the alleged offence is the information available in the DVD
which was recovered from the premises of M/s."
209,Medium Risk,100.0%,1,0,0,0,"Admittedly, in the present case, the evidence, i.e., the so-called DVD, was never there in existence to
support the case of the respondents and not available from the beginning of its recovery for
appellant to refute, in spite of his request."
210,Medium Risk,100.0%,0,0,0,1,"We also take note of submission that the Hard Disk of the
said computer utilised for Appeal No(s)."
215,Medium Risk,100.0%,0,0,0,1,"The relevant portion of the statement of Shri Shubhamoy Mandal, IO of DRI is as under:
""On being asked to explain that when the search commenced at 15.20 hours on
29.07.2016 and concluded at 20.30 hours on the same day, then how can the time on
the screenshot of the DVD shows the time as 01.11 AM on 29.07.2016, I am to state
that this is because of the wrong time which was being shown on the computer from
Indian Kanoon - http://indiankanoon.org/doc/183744109/ 11
Vikash Kumar vs Kolkata-Prev on 6 February, 2026
which screenshot was taken."""
216,Medium Risk,100.0%,0,0,1,1,"In the second page, Shri Mandal further confessed that:
""On being shown the copy of Annexure to Panchanama dated 29.07.2016, it is seen
that 45 items (including files & folders) are present, whereas in the copy of DVD
provided to CBI only 44 items are present, I am to state that Shri, B. N. Mallick, Sr.
IO, DRI, who is dealing the matter may explain the same."""
218,Medium Risk,100.0%,0,0,0,1,"It has also been stated before us that CSFL, Chandigarh, vide letter No."
222,Medium Risk,100.0%,0,0,1,1,"We find merit in the claim of the appellant that the documents available in the said DVD may
have been fabricated."
228,Medium Risk,100.0%,0,0,0,1,"Ltd. is unavailable, which is the main source
of information based on which the impugned proceedings have been initiated, we are of the opinion
that without verifying the original DVD, the information available in the re-constructed DVD cannot
be relied upon to implicate the appellant in the alleged offence."
234,Medium Risk,100.0%,0,0,0,1,"In this connection, we have also examined the contentions raised by the appellant as to
non-compliance of the provisions of Section 138C of the Customs Act, 1962 by the Revenue as far as
the purported contents of the DVD in question are concerned."
266,Medium Risk,100.0%,0,0,0,1,"In the present case, we find that the
provisions of Section 138C of the Act were not complied with to use the computer
printouts as evidence."
293,Medium Risk,100.0%,1,0,0,0,"Most
importantly, such a certificate must accompany the electronic record like computer printout,
compact disc (CD), video compact disc (VCD), pen drive, etc., pertaining to which a statement is
sought to be given in evidence, when the same is produced in evidence."
303,Medium Risk,100.0%,1,0,0,0,"Generaliaspecialibus non derogant,
special law will always prevail over the general law."
307,Medium Risk,100.0%,0,0,0,1,It requires to be overruled and we do so.
312,Medium Risk,100.0%,0,0,0,1,"(supra), we
note that the Apex Court has categorically laid down the law that unless the requirement of Section
65B of the Evidence Act is satisfied, such evidence cannot be admitted in any proceeding."
313,Medium Risk,100.0%,0,0,0,1,"We note
that the Section 138C of the Customs Act is parimateria to Section 65B of the Evidence Act."
317,Medium Risk,100.0%,0,0,0,1,"After perusing the record of the case, we note that in respect of the electronic
documents in the form of computer printouts from the seized laptops and other electronic devices
have not been accompanied by a certificate as required by Section 138C(2) as above."
328,Medium Risk,100.0%,0,0,0,1,"Therefore, we are of the considered
opinion that the emails/documents etc retrieved in the instant case are not reliable evidence for the
reasons cited above."
332,Medium Risk,100.0%,0,0,0,1,"Therefore, we find that as per the ratio laid
down in the above referred judgments, the documents retrieved, lost their evidentiary value and
cannot be relied upon for upholding the charges of undervaluation of goods and demand of the
differential duty."""
334,Medium Risk,100.0%,0,0,0,1,"We find that the above decision has been affirmed by the Hon'ble Supreme Court as reported
in (2023) 6 Centax 14 (S.C.)."
336,Medium Risk,100.0%,0,0,0,1,"Therefore, by applying the ratio laid down in the decisions cited supra, we are also of the view
that the information available in the said DVD cannot be relied upon as admissible evidence against
the appellant in the impugned proceedings in the absence of compliance of the provisions of Section
138C ibid."
338,Medium Risk,100.0%,0,0,0,1,"In view of the detailed discussions in the foregoing paragraphs, we hold the electronic record, in
the form of the so-called DVD in the present case, cannot be treated as admissible evidence, in the
absence of any verification as to its genuineness, veracity or reliability from the original electronic
device by/from which these are created, for the purpose of imposition of penalty under Section
114AA of the Customs Act, 1962 on the appellant."
354,Medium Risk,100.0%,0,0,0,1,"We find that the above said statement of Shri Jyoti Biswas has been heavily relied on by the
Revenue against the appellant, to say that he has conspired with Shri Jyoti Biswas and two other
Appeal No(s)."
356,Medium Risk,100.0%,0,0,0,1,"However, we do not find any concrete or
corroborative evidence being placed on record by the Revenue to substantiate the above allegations."
360,Medium Risk,100.0%,0,0,0,1,"We also take note of the fact that Shri Jyoti Biswas,
i.e., the person from whom the above said statement/s have been recorded, is a co-accused in this
case."
364,Medium Risk,100.0%,0,0,0,1,"We also take note of the appellant's submission that the said statement/s relied upon against
him in this case were allegedly recorded under duress and coercion and retracted later and thus
such retracted statements have no evidentiary value in the absence of any corroborative evidence."
365,Medium Risk,100.0%,0,0,0,1,"Since the statement of Shri Jyoti Biswas has been retracted, we agree with the contention of the
appellant that the same cannot be relied upon as evidence for implicating the appellant in the
alleged offence, in the absence of any corroborative evidence."
368,Medium Risk,100.0%,0,0,0,1,"We find that revenue
heavily relies on the statements of Shri Mahesh Chandra Sharma, though retracted
later."
373,Medium Risk,100.0%,0,0,0,1,"14.1 We find that
the statements were recorded by the department from Shri Mahesh Chandra Sharma on different
dates in a span of 3 years."
380,Medium Risk,100.0%,1,0,0,0,"157 (S.C.)], the Hon'ble
Supreme Court has ruled that the initial burden to prove that the confession was voluntary is upon
the department and that evidence brought by confession if retracted, must be corroborated by other
independent and cogent evidence."
387,Medium Risk,100.0%,0,0,0,1,14.2 We find that the appellants have shown enough cause for delayed retraction.
397,Medium Risk,100.0%,0,0,0,1,"Hence, we find that relevancy of the above retracted statement of Shri Jyoti Biswas has not been
proved by Revenue."
403,Medium Risk,100.0%,0,0,0,1,"Having addressed the issues under dispute, we now proceed to examine the applicability of the
relevant statutory provisions invoked in this case to impose penalties on the appellant."
404,Medium Risk,100.0%,0,0,0,1,"We find that
penalties have been imposed on the appellant under Section 114AA of the Customs Act, 1962."
409,Medium Risk,100.0%,0,0,0,1,"We find that the
conditions mentioned in Section 114AA of the Act are not satisfied in the present case, as there is no
cogent, tangible or corroborative evidence on record to show that the appellant has made any
declaration, statement or document which is false or incorrect in any material particular in the
transaction of any businesses for the Act."
411,Medium Risk,100.0%,0,0,0,1,"Since the above ingredients, which are
essential for imposing penalty under Section 114AA of the Act, are absent in the case, we do not find
any justification for imposition of penalty under Section 114AA of the Customs Act on the appellant."
416,Medium Risk,100.0%,0,0,0,1,"Therefore, even on this count, we agree with the submission of
the appellant that under such circumstances, the provisions of Section 114AA of the Act cannot be
invoked against the appellant."
418,Medium Risk,100.0%,0,0,0,1,"In view of the above discussions, we hold that the penalties imposed on the appellant under
Section 114AA of the Customs Act, 1962, as upheld vide the impugned orders, are not sustainable."
